,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
281,0,3,1,4,8,0,20,13,6,9,16
405,0,3,1,3,14,0,16,14,10,12,13
975,0,2,1,3,17,1,8,0,3,4,9
1218,1,4,1,10,10,0,19,19,13,18,16
526,0,2,1,3,13,0,16,0,0,2,1
1019,0,3,1,3,1,0,0,0,0,0,0
1434,1,3,1,4,11,0,18,13,16,16,17
1406,1,24,1,3,4,0,0,0,0,0,0
614,0,5,1,4,6,1,12,12,0,4,13
1313,1,2,1,5,15,0,18,14,9,12,15
514,0,3,1,5,1,0,16,0,0,11,13
524,0,3,1,4,13,0,14,0,0,15,16
1065,0,3,1,4,11,0,16,13,12,14,15
1503,1,2,1,5,14,0,15,0,12,13,0
1304,1,3,1,3,5,0,18,10,9,10,0
1155,1,9,1,11,10,0,20,17,12,13,10
1467,1,3,1,4,10,0,20,17,16,17,17
817,0,3,1,3,4,0,0,0,0,0,0
1171,1,4,1,4,3,1,0,0,0,13,0
427,0,7,1,10,10,0,19,18,8,13,16
672,0,7,1,3,4,1,0,0,0,0,8
1493,1,2,1,5,13,0,16,0,0,8,13
1461,1,3,1,4,5,0,17,13,12,12,16
1431,1,2,1,4,8,0,14,11,8,10,16
1368,1,4,1,3,10,0,0,0,0,0,0
337,0,3,1,3,14,0,14,3,5,10,14
918,0,3,1,5,4,0,15,8,5,7,13
1301,1,2,1,5,14,0,7,9,6,12,11
677,0,3,1,3,13,0,0,0,0,0,0
727,0,6,1,13,6,0,17,12,0,8,13
931,0,2,1,7,8,0,15,11,7,17,15
882,0,2,1,5,13,0,20,0,0,14,15
534,0,3,1,7,8,0,16,12,7,15,13
1460,1,4,1,7,8,0,0,0,0,0,0
607,0,10,1,1,16,0,0,0,0,0,0
515,0,2,1,5,5,0,13,10,7,8,13
308,0,3,1,5,5,0,0,4,5,5,0
747,0,4,1,4,10,0,0,0,0,0,0
1032,0,2,1,4,6,0,14,12,0,7,15
979,0,5,1,10,10,0,19,18,8,16,16
687,0,2,1,7,8,0,0,0,0,0,0
629,0,9,1,3,15,1,0,0,0,0,0
764,0,2,1,5,15,0,15,15,5,12,13
862,0,4,1,4,0,0,0,0,0,0,14
929,0,17,1,3,18,1,14,3,4,5,0
1491,1,4,1,10,10,0,20,19,16,20,0
1480,1,4,1,4,8,0,1,0,0,11,0
729,0,7,1,11,11,0,8,0,0,0,13
626,0,3,1,4,5,0,17,15,4,15,16
332,0,4,1,10,10,0,17,13,12,14,14
378,0,3,1,9,10,1,19,13,11,13,0
1494,1,12,1,3,11,0,16,3,5,13,11
968,0,3,1,3,18,0,0,0,0,0,13
1262,1,4,1,7,8,1,17,11,8,15,14
769,0,3,1,4,14,0,17,6,0,5,14
509,0,2,1,5,5,0,0,0,0,0,0
840,0,5,1,4,10,0,20,17,13,19,12
853,0,2,1,4,9,0,11,14,0,13,12
1348,1,9,1,11,10,0,18,16,10,12,12
866,0,3,1,3,10,0,19,20,13,20,13
387,0,2,1,5,11,1,16,11,10,12,8
541,0,4,1,3,10,0,18,17,15,17,17
1286,1,3,1,5,14,1,10,8,6,12,9
390,0,14,1,3,13,0,0,0,0,0,0
1029,0,2,1,7,8,0,17,6,5,9,13
1288,1,12,1,6,5,0,8,10,8,9,13
1414,1,3,1,4,10,0,20,17,18,19,17
388,0,27,1,6,11,1,0,0,0,0,0
688,0,3,1,3,10,0,16,15,11,13,13
1191,1,9,1,4,15,0,19,16,10,12,14
473,0,2,1,4,10,0,17,19,11,17,17
643,0,2,1,5,11,0,17,13,0,15,13
523,0,3,1,4,13,0,20,0,0,10,15
572,0,4,1,4,3,1,0,0,0,0,0
588,0,3,1,4,7,0,0,0,0,0,0
865,0,3,1,4,12,0,14,6,0,12,16
966,0,3,1,5,11,0,0,0,0,0,0
647,0,2,1,3,0,0,15,7,0,9,12
1373,1,4,1,4,0,0,17,13,0,7,13
1160,1,2,1,3,0,0,0,0,0,0,0
881,0,4,1,4,14,1,16,10,0,8,12
